epoch,loss,acc_th0.20,acc_th0.25,acc_th0.30,acc_th0.35,acc_th0.40,acc_th0.45,acc_th0.50,acc_th0.55,acc_th0.60,acc_th0.65,acc_th0.70,auc,psnr,ssim,mse,lpips,clip
21400,0.05158,0.4917,0.5104,0.4979,0.4899,0.5018,0.4954,0.4931,0.4620,0.4756,0.4817,0.4727,0.5188,3.73,0.1215,0.424081,0.2558,0.3000
21600,0.04845,0.5037,0.4906,0.4912,0.5073,0.4891,0.5007,0.4614,0.4680,0.4649,0.4859,0.4831,0.5117,1.86,0.0325,0.652299,0.1809,0.3000
21800,0.03084,0.4884,0.4830,0.4782,0.4746,0.4787,0.4942,0.4734,0.4913,0.4806,0.4549,0.4745,0.5399,1.15,0.0943,0.767424,0.2350,0.3000
22000,0.09048,0.4892,0.4745,0.4887,0.4743,0.5026,0.4908,0.4801,0.4893,0.4873,0.4562,0.4810,0.5124,2.46,0.0897,0.566980,0.2491,0.3000
22200,0.07485,0.4978,0.4759,0.5016,0.4942,0.4878,0.4682,0.4796,0.4922,0.4715,0.4702,0.4535,0.5235,4.02,0.1001,0.395936,0.1779,0.3000
22400,0.02991,0.5082,0.4750,0.4980,0.4678,0.4906,0.4779,0.4800,0.4646,0.4796,0.4843,0.4643,0.5142,3.20,0.0871,0.478117,0.1780,0.3000
22600,0.03044,0.4880,0.4760,0.4815,0.4773,0.4928,0.4965,0.4954,0.4587,0.4860,0.4709,0.4794,0.5235,2.93,0.0694,0.509324,0.1645,0.3000
22800,0.02195,0.4945,0.4830,0.4947,0.4966,0.4969,0.4877,0.4662,0.4781,0.4744,0.4531,0.4739,0.5286,3.67,0.0851,0.429873,0.1654,0.3000
23000,0.03609,0.5080,0.4957,0.4712,0.4722,0.4999,0.4776,0.4907,0.4681,0.4943,0.4563,0.4847,0.5337,2.34,0.0783,0.583225,0.2082,0.3000
23200,0.02334,0.4856,0.5034,0.4834,0.4751,0.4721,0.4995,0.4754,0.4953,0.4680,0.4884,0.4888,0.5076,3.27,0.0772,0.470637,0.2369,0.3000
23400,0.02327,0.4973,0.5119,0.4957,0.4719,0.4659,0.4782,0.4752,0.4882,0.4742,0.4828,0.4805,0.4926,2.09,0.1007,0.618610,0.2241,0.3000
23600,0.03888,0.5116,0.4820,0.4768,0.4828,0.4840,0.4936,0.4779,0.4648,0.4588,0.4782,0.4746,0.4991,3.83,0.0339,0.413758,0.1999,0.3000
23800,0.06610,0.4886,0.4814,0.4740,0.4923,0.4903,0.4671,0.4638,0.4833,0.4888,0.4800,0.4581,0.5102,3.99,0.0984,0.398676,0.1422,0.3000
24000,0.03464,0.4783,0.5016,0.5010,0.5008,0.4907,0.4759,0.4654,0.4727,0.4920,0.4715,0.4593,0.5265,2.97,0.0525,0.504645,0.1752,0.3000
24200,0.07823,0.4894,0.4830,0.4801,0.4761,0.4783,0.4903,0.4697,0.4675,0.4840,0.4898,0.4520,0.5483,2.57,0.0877,0.553191,0.1767,0.3000
24400,0.01276,0.4979,0.5104,0.4753,0.4937,0.4973,0.4703,0.4644,0.4917,0.4644,0.4544,0.4731,0.4909,2.19,0.0690,0.604366,0.1962,0.3000
24600,0.02473,0.4761,0.5112,0.5020,0.4748,0.4730,0.5019,0.4745,0.4643,0.4627,0.4803,0.4753,0.4907,2.94,0.1310,0.508061,0.2256,0.3000
24800,0.02600,0.4942,0.4860,0.4979,0.4827,0.5015,0.5003,0.4895,0.4716,0.4843,0.4618,0.4562,0.4992,1.12,0.0601,0.772720,0.1878,0.3000
25000,0.02770,0.4765,0.4976,0.4727,0.4770,0.4686,0.4903,0.4774,0.4803,0.4887,0.4905,0.4710,0.5368,2.10,0.1260,0.616518,0.2233,0.3000
25200,0.04503,0.5144,0.5050,0.5068,0.4772,0.4924,0.4666,0.4889,0.4949,0.4888,0.4631,0.4624,0.5467,2.39,0.0670,0.577306,0.2171,0.3000
25400,0.02821,0.5004,0.4979,0.5074,0.5001,0.4989,0.4733,0.4838,0.4639,0.4634,0.4574,0.4704,0.5410,2.78,0.0690,0.527461,0.1779,0.3000
25600,0.05379,0.5046,0.5001,0.4831,0.4796,0.4774,0.4630,0.4908,0.4897,0.4579,0.4637,0.4587,0.5011,2.09,0.1014,0.618567,0.1771,0.3000
25800,0.02194,0.5051,0.5113,0.4839,0.4779,0.5047,0.4872,0.4852,0.4793,0.4846,0.4863,0.4683,0.5330,2.39,0.0952,0.576112,0.2011,0.3000
26000,0.03543,0.4808,0.5043,0.4864,0.5040,0.4849,0.4749,0.4621,0.4598,0.4795,0.4765,0.4544,0.4959,1.45,0.0755,0.715421,0.1983,0.3000
26200,0.01258,0.4770,0.5090,0.4873,0.4818,0.5019,0.4867,0.4790,0.4821,0.4589,0.4673,0.4862,0.5128,3.61,0.1065,0.435939,0.2409,0.3000
